product_id,barcode,product_name,type,purchase_price,selling_price,selling_wcard
4289,10002990,Nakışlı Bluz,Bluz,18.0,37.99,39.99
4290,10002992,Sırtı Fermuarlı Bbüstiyer,Büstiyer,13.0,29.99,32.99
4291,10002993,Yıkamalı Bluz New Sezon,Bluz,17.0,34.99,39.99
4292,10002575,Kalem EtEK,Etek,15.0,29.99,34.99
4293,10002995,Fermuarlı Kumaş Pant,Pantolon,33.0,69.99,74.99
4294,10002704,Çiçelkli Yüksek Bel Kumaş,Pantolon,28.0,55.0,59.99
4295,10002703,Kumaş Pantolon,Pantolon,27.0,55.0,59.99
4296,10002703,Kumaş Pantolon,Pantolon,27.0,55.0,59.99
4297,10002997,Havuç Pantolon,Pantolon,30.0,59.99,64.99
4298,10002513,Basıc,Atlet,7.0,14.99,17.5
4299,10002998,Bluz,Bluz,16.2,32.99,34.99
4300,10002999,Büstiyer Kabartmalı Kumaş,Büstiyer,19.44,39.99,42.99
4301,10003000,Dantelli Büstiyer,Büstiyer,16.2,32.99,34.99
4302,10003001,Etek ,Etek,27.0,49.99,52.99
4303,10002977,Büstiyer,Büstiyer,10.0,24.99,29.99
4304,10002981,Çizgili Cop ,Ceket,25.0,49.99,54.99
4305,10002964,Tişört,TışÖRT,5.0,9.99,12.5
4306,10002965,Siyah Fırfırlı Bluz,Bluz,13.0,29.99,34.99
4307,10002969,Madonna Yaka Bluz,Bluz,15.0,29.99,32.99
4308,10002967,Pantolon,Pantolon,18.0,37.99,39.99
4309,10002965,Siyah Fırfırlı Bluz,Bluz,13.0,29.99,34.99
4310,10002692,Asit Yıkama Yuksek Bel ,Kot Pantolon,23.0,44.99,49.99
4311,10002920,ÜSTÜ NAKIşLI BLUZ,Bluz,14.04,29.99,34.99
4312,10002993,Yıkamalı Bluz New Sezon,Bluz,17.0,34.99,39.99
4313,10002691,Kot Yuksek Bel ,Kot Pantolon,27.0,54.99,59.99
4314,10002727,Gömlek,Gömlek,22.0,39.99,44.99
4315,10001571,CZB 8975 ÇıÇEKLı BLUZ,Bluz,17.0,34.99,39.99
4316,10002992,Sırtı Fermuarlı Bbüstiyer,Büstiyer,13.0,29.99,32.99
4317,10001849,2503 Yaka Zincirli Taşlı Gömlek,Gömlek,30.24,59.99,64.99
4318,10001849,2503 Yaka Zincirli Taşlı Gömlek,Gömlek,30.24,59.99,64.99
4319,10002965,Siyah Fırfırlı Bluz,Bluz,13.0,29.99,34.99
4320,10002534,4221 Yakalı Cepli Yelek,Yelek,25.0,49.99,54.99
4321,10003002,Çizgili Gömlek,Gömlek,15.0,34.99,39.99
4322,10003003,Taşlı Gömlek,Gömlek,20.0,39.99,44.99
4323,10003004,ısp.Dant. Kol Mad. Yk,Bluz,15.0,34.99,39.99
4324,10003005,Tura Nakışlı Bluz,Bluz,20.0,39.99,39.99
4325,10002990,Nakışlı Bluz,Bluz,18.0,37.99,39.99
4326,10003006,184 ısp Kol Dnt Güp Bluz,,17.0,34.99,39.99
4327,10003007,Kot Bluz,Bluz,23.0,44.99,49.99
4328,10003008,Siyah nakış Elbise,Elbise,20.0,44.99,49.99
4329,10003010,Önü Taşlı Sweat,Sweat,16.0,34.99,39.99
4330,10003011,Önü Güpür Bluz,Bluz,17.0,37.5,39.99
4331,10003012,Bomber Ceket,Ceket,25.0,49.99,54.99
4332,10003013,Altı Gömlek Bluz,Bluz,12.0,29.99,34.99
4333,10003014,Etnik Bluz,Bluz,16.0,34.99,39.99
4334,10003015,Etek Uzun,Etek,15.0,29.99,34.99
4335,10003016,Lastik Bluz Çizgili,Bluz,13.0,29.99,34.99
4336,10003017,175..,Bluz,15.0,29.99,34.99
4337,10003017,175..,Bluz,15.0,29.99,34.99
4338,10003018,Tavuz Kuşlu Gömlek,Gömlek,22.5,44.99,49.99
4339,10003019,Kolyeli Gömlek,Gömlek,18.5,39.99,44.99
4340,10003020,Puantiyeli Gömlek,Gömlek,17.5,39.99,44.99
4341,10003021,Yıldız Nakışlı Gömlek,Gömlek,22.5,44.99,49.99
4342,10003022,şerit Nakışlı,Gömlek,18.5,39.99,44.99
4343,10003023,Pullu Nakışlı Gömlek,Gömlek,22.5,44.99,49.99
4344,10003001,Etek ,Etek,27.0,49.99,52.99
4345,10002999,Büstiyer Kabartmalı Kumaş,Büstiyer,19.44,39.99,42.99
4346,10003024,Varaklı Etek,Etek,15.0,34.99,39.99
4347,10003025,1502 Bol Pantalon,Pantolon,19.0,39.99,44.99
4348,10003026,Nakışlı Bluz,Bluz,33.0,59.99,64.99
4349,10002983,2540 Düz Renk Gömlek,Gömlek,24.0,49.99,54.99
4350,10003028,California Trenc,TRENÇKOT,65.0,119.99,124.99
4351,10003029,Tasarım Yağmurluk ,Yagmurluk,45.0,84.99,89.99
4352,10003030,Tasarım Trenckot,TRENÇKOT,65.0,119.99,124.99
4353,10003031,Tasrım Triko,Kazak,25.0,49.99,54.99
4354,10003032,1770 Ceket ,Ceket,22.0,45.0,49.99
4355,10003033,1844 Bomber Ceket,Ceket,16.0,29.99,34.99
4356,10003036,Ceket Bel Bağlama,Ceket,17.5,34.99,39.99
4357,10002977,Büstiyer,Büstiyer,10.0,24.99,29.99
4358,10003037,Fırfırlı Bluz,Bluz,13.0,27.5,29.99
4359,10003038,226 Atlet ,Atlet,14.0,27.5,29.99
4360,10003039,005 Ceket gumuş,Ceket,15.0,34.99,39.99
4361,10003040,006 Ceket Krem,Ceket,20.0,44.99,49.99
4362,10003041,051 Thşırt,TışÖRT,14.0,27.5,29.99
4363,10003042,065 Thşirt,TışÖRT,12.0,24.99,27.5
4364,10003043,083-t.Shırt Mavi,TışÖRT,14.0,27.5,29.99
4365,10003044,Tasarım Dantelli Gömlek ,Gömlek,23.0,49.99,54.99
4366,10002691,Kot Yuksek Bel ,Kot Pantolon,27.0,54.99,59.99
4367,10003045,Yüksek Bel Pantolon,Kot Pantolon,22.0,44.99,49.99
4368,10002703,Kumaş Pantolon,Pantolon,27.0,55.0,59.99
4369,10002997,Havuç Pantolon,Pantolon,30.0,59.99,64.99
4370,10003046,Bluz,Bluz,8.0,19.99,22.5
4371,10002336,Czb 3951 Havuc Pant.,KUMAş PANTOLON,27.0,59.99,64.99
4372,10003047,3857 Cız Bblkrp.Yakasız Cepli,Gömlek,23.0,44.99,49.99
4373,10003048,5164-emp.Brb.Hkm.Yk.U Kol Gmlk,Gömlek,23.0,44.99,49.99
4374,10003003,Taşlı Gömlek,Gömlek,20.0,39.99,44.99
4375,10003005,Tura Nakışlı Bluz,Bluz,20.0,39.99,44.99
4376,10003010,Önü Taşlı Sweat,Sweat,16.0,34.99,39.99
4377,10003015,Etek Uzun,Etek,15.0,29.99,34.99
4378,10003015,Etek Uzun,Etek,15.0,29.99,34.99
4379,10003003,Taşlı Gömlek,Gömlek,20.0,39.99,44.99
4380,10002986,Yan Fermuarlı Bluz,Bluz,12.0,29.99,32.99
4381,10002987, 166 Madonna Yaka Bluz,Bluz,16.0,34.99,39.99
4382,10003049,124 Salaş Bluz,Bluz,18.0,39.99,44.99
4383,10003050,099 Zara Model Tunık,Bluz,15.0,34.99,39.99
4384,10003051,176 Onu Nakıslı Bluz,Bluz,16.0,34.99,39.99
4385,10003052,141 Su Taslı Bluz,Bluz,14.0,34.99,39.99
4386,10003044,Tasarım Dantelli Gömlek ,Gömlek,23.0,49.99,54.99
4387,10003012,Bomber Ceket,Ceket,25.0,49.99,54.99
4388,10002336,Czb 3951 Havuc Pant.,KUMAş PANTOLON,27.0,59.99,64.99
